Sequence,survey.status,dev.status,ecosystem,my.eco.role,my.eco.years,value.eco.stability,value.eco.innovation,value.eco.replicability,value.eco.compatibility,value.eco.rapid.access,value.eco.quality,value.eco.commerce,value.eco.community,value.eco.openness,value.eco.curation,value.eco.fun,value.eco.confidence,power.eco.endusers,power.eco.devs,power.eco.leaders,power.eco.gatekeepers,power.eco.sponsors,power.fair,health.eco.not.recruit,health.eco.leave,health.eco.not.innov,health.eco.isolated,health.eco.not.diverse,health.eco.unstable,health.eco.similar,health.eco.low.quality,health.eco.not.rapid,health.eco.dllhell,health.eco.not.democratic,health.eco.not.commercial,my.package.named,my.is.submitted,my.has.revdeps,package.default,value.my.stability,value.my.innovation,value.my.replicability,value.my.compatibility,value.my.rapid.access,value.my.quality,value.my.commerce,value.my.community,value.my.openness,value.my.curation,value.my.fun,change.dep.freq,change.pkg.freq,rel.batch,rel.backcompat.design,rel.fixed.schedule,sync.sched,rel.backcompat.extra.time,upgr.backport,rel.constrained.from.changes,know.users.needs,mon.semver.eco,mon.versionless.updates.eco,sync.sched.eco,gate.strict.standards.eco,mon.versionless.updates,mon.semver,mon.change.log,sync.headsup,rework.migration.guide,rework.assist.user,sync.liaison,sync.liaison.code,sync.liaison.freq,mon.internal.media,mon.external.media,mon.personal.contact,mon.tool.notify,mon.something.breaks,upgr.packrat,upgr.packrat.eco,abst.research,abst.dep.aversion,upgr.dont.update,abst.shim,abst.clone,rework.hell,education,oss.experience,dev.experience,motive.intq1.satisfaction,motive.intq2.goodat,motive.intq3.fun,motive.intq4.achieve,motive.int,motive.staq1.skill,motive.staq2.work.status,motive.staq3.opportunity,motive.staq4.cmnty.status,motive.sta,motive.uv,motive.uvq1.fix.bug,motive.uvq2.add.feature,motive.job
1623,finished,user,Maven,lead,5+ years,Important,Important,Important,Important,Important,Important,Not Important,Somewhat Important,Somewhat Important,Important,Important,Slightly confident,I don't know/Not Applicable,Highest influence,I don't know/Not Applicable,I don't know/Not Applicable,I don't know/Not Applicable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,TRUE,in repo,no rev dependencies,NA,Somewhat Important,Very Important,Somewhat Important,Extremely important,Not Important,Extremely important,Somewhat Important,Important,Very Important,Not Important,Somewhat Important,Never,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly disagree,I don't know,Neither agree nor disagree,NA,NA,NA,NA,NA,NA,No,No,Never,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Exact version number,Exact version number,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Degree,5+ years,5+ years,(mid importance),(mid importance),(mid-hi importance),(mid importance),9.37,(mid importance),(mid importance),(mid importance),(mid importance),8.31,4.65,(mid importance),(mid importance),(mid-hi importance)
1624,finished,developer,Ruby/Rubygems,lead,<5 years,Extremely important,Somewhat Important,Important,Extremely important,Extremely important,Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Important,Slightly confident,Medium influence,Highest influence,Medium influence,I don't know/Not Applicable,Medium influence,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,TRUE,in repo,has rev dependencies,installable package,Extremely important,Not Important,Extremely important,Extremely important,Extremely important,Extremely important,Important,Not Important,Somewhat Important,Somewhat Important,Important,Less than once a year,Less than once a year,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,No,No,Never,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Version range,Version range,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Coursework,<5 years,<5 years,(mid-hi importance),Great importance,Great importance,Great importance,13.72,(mid importance),(mid-hi importance),(mid-low importance),(mid-low importance),7.59,7.75,Great importance,Great importance,Great importance
1625,finished,user,Atom (plugins),lead,<5 years,Extremely important,Very Important,Extremely important,Important,Extremely important,Extremely important,Not Important,Very Important,Very Important,Important,Important,Confident,Medium influence,Highest influence,Low influence,I don't know/Not Applicable,Medium influence,Neither agree nor disagree,I don't know,I don't know,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,I don't know,Strongly disagree,TRUE,in repo,no rev dependencies,NA,Extremely important,Not Important,Extremely important,Extremely important,Extremely important,Extremely important,Not Important,Very Important,Important,Not Important,Important,Less than once a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat disagree,Strongly disagree,I don't know,Somewhat agree,NA,NA,NA,NA,NA,NA,No,No,Never,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Just name,I don't know,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Coursework,5+ years,5+ years,Great importance,(mid-hi importance),(mid-hi importance),Great importance,13.09,(mid importance),(mid importance),Great importance,(mid importance),9.79,7.2,Great importance,(mid-hi importance),(mid-low importance)
1626,finished,developer,Python/PyPi,committer,<5 years,I don't know,Important,I don't know,Not Important,Very Important,Somewhat Important,Important,Somewhat Important,I don't know,Important,I don't know,Not confident,Lowest influence,High influence,I don't know/Not Applicable,I don't know/Not Applicable,I don't know/Not Applicable,Neither agree nor disagree,Somewhat disagree,Strongly disagree,I don't know,Strongly agree,I don't know,Somewhat agree,Strongly agree,Neither agree nor disagree,I don't know,I don't know,I don't know,Somewhat disagree,TRUE,self-published,has rev dependencies,default package,Not Important,Very Important,Not Important,Extremely important,Extremely important,Extremely important,Extremely important,Important,Very Important,Very Important,Extremely important,Several times a month,Less than once a year,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,I don't know,I don't know,I don't know,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,No,No,Never,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Exact version number,Exact version number,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Coursework,5+ years,5+ years,Great importance,Great importance,Great importance,Great importance,14.5,Little importance,(mid-hi importance),(mid-hi importance),(mid-low importance),7.77,6.75,(mid-hi importance),Great importance,(mid importance)
1627,abandoned,user,Go,user,<5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1628,finished,user,Atom (plugins),lead,<5 years,Extremely important,Important,Important,Important,Somewhat Important,Important,Not Important,Important,Not Important,Important,Somewhat Important,Confident,I don't know/Not Applicable,I don't know/Not Applicable,I don't know/Not Applicable,I don't know/Not Applicable,I don't know/Not Applicable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,I don't know,I don't know,TRUE,in repo,no rev dependencies,NA,Extremely important,Not Important,Important,Very Important,Important,Very Important,Somewhat Important,Important,Somewhat Important,Not Important,Very Important,Less than once a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,I don't know,Strongly disagree,Strongly agree,Somewhat agree,NA,NA,NA,NA,NA,NA,No,No,Never,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Version range,I don't know,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,None,<5 years,5+ years,(mid importance),(mid importance),(mid-hi importance),(mid-hi importance),10.08,Little importance,Little importance,(mid-low importance),Little importance,3.51,7.75,Great importance,Great importance,Little importance
1629,finished,developer,Atom (plugins),central,<5 years,Extremely important,Important,Somewhat Important,Extremely important,Extremely important,Important,Not Important,Very Important,Very Important,Important,Extremely important,Slightly confident,Low influence,Medium influence,High influence,Highest influence,Medium influence,Somewhat disagree,I don't know,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,TRUE,in repo,has rev dependencies,installable package,Extremely important,Very Important,Somewhat Important,Extremely important,Very Important,Extremely important,Not Important,Very Important,Important,Extremely important,Extremely important,Several times a year,Several times a year,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,I don't know,I don't know,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,No,No,Never,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Exact version number,I don't know,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,None,<5 years,5+ years,(mid-low importance),(mid importance),(mid importance),(mid-hi importance),8.63,(mid-hi importance),(mid-low importance),(mid-low importance),(mid-low importance),6.84,7.75,Great importance,Great importance,Little importance
1630,finished,developer,CocoaPods,central,<5 years,Extremely important,Important,Very Important,Extremely important,Very Important,Extremely important,Important,Very Important,Important,Very Important,Extremely important,Confident,Medium influence,High influence,Low influence,Low influence,Medium influence,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,I don't know,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,I don't know,I don't know,TRUE,in repo,has rev dependencies,installable package,Important,Somewhat Important,Important,Extremely important,Very Important,Extremely important,Important,Very Important,Extremely important,Extremely important,Extremely important,Never,Never,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,No,No,Never,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Version range,Version range,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Degree,<5 years,5+ years,Great importance,Great importance,Great importance,Great importance,14.5,Great importance,(mid-hi importance),Great importance,Great importance,13.15,6.2,(mid-hi importance),(mid-hi importance),Great importance
1631,finished,developer,Maven,central,5+ years,Extremely important,Important,Extremely important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Confident,Medium influence,High influence,Highest influence,Highest influence,Medium influence,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,TRUE,in repo,has rev dependencies,installable package,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very Important,Extremely important,Extremely important,Extremely important,Very Important,Less than once a year,Less than once a year,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,I don't know,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Yes,Skipped,Several times a year,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Exact version number,Exact version number,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Degree,5+ years,5+ years,Great importance,Great importance,Great importance,Great importance,14.5,(mid importance),(mid importance),(mid-hi importance),(mid-hi importance),9.73,7.2,Great importance,(mid-hi importance),(mid-low importance)
1632,finished,user,Atom (plugins),central,<5 years,Somewhat Important,Important,Very Important,Somewhat Important,Important,Somewhat Important,Not Important,Important,Important,Important,Important,Slightly confident,Low influence,Highest influence,I don't know/Not Applicable,I don't know/Not Applicable,I don't know/Not Applicable,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,I don't know,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,I don't know,TRUE,in repo,no rev dependencies,NA,Very Important,Extremely important,Extremely important,Very Important,Extremely important,Very Important,Not Important,Very Important,Important,Extremely important,Important,Several times a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,NA,NA,NA,NA,NA,NA,Yes,Yes,Several times a day,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Version range,Version range,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Degree,<5 years,<5 years,Great importance,(mid-hi importance),Great importance,(mid-hi importance),13.05,Little importance,Little importance,(mid-low importance),Little importance,3.51,7.2,Great importance,(mid-hi importance),Little importance
1633,finished,user,Atom (plugins),lead,<5 years,Important,Somewhat Important,Very Important,Very Important,Extremely important,Somewhat Important,Not Important,Important,Very Important,Somewhat Important,Extremely important,Confident,High influence,Highest influence,Medium influence,I don't know/Not Applicable,Low influence,Somewhat agree,Somewhat agree,I don't know,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,I don't know,Somewhat agree,TRUE,self-published,no rev dependencies,NA,Very Important,Not Important,Very Important,Very Important,Extremely important,Very Important,Not Important,Very Important,Important,Somewhat Important,Very Important,Never,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,NA,NA,NA,NA,NA,NA,No,No,Never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Version range,Just name,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly disagree,Degree,<5 years,<5 years,Great importance,Great importance,Great importance,Little importance,11.66,(mid importance),Little importance,Little importance,(mid-hi importance),6.11,7.75,Great importance,Great importance,(mid-hi importance)
1634,finished,user,Atom (plugins),committer,<5 years,Extremely important,Important,Somewhat Important,Important,Somewhat Important,Extremely important,Somewhat Important,Very Important,Extremely important,Very Important,Extremely important,Slightly confident,Medium influence,High influence,High influence,I don't know/Not Applicable,Low influence,Somewhat agree,Strongly disagree,I don't know,Somewhat disagree,Neither agree nor disagree,I don't know,Strongly disagree,Somewhat agree,I don't know,Strongly disagree,I don't know,I don't know,Somewhat agree,TRUE,in repo,no rev dependencies,NA,Very Important,Important,Extremely important,Somewhat Important,Extremely important,Extremely important,Not Important,Somewhat Important,Important,Somewhat Important,Skipped,Less than once a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,I don't know,Somewhat disagree,I don't know,Strongly disagree,NA,NA,NA,NA,NA,NA,No,No,Never,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Version range,I don't know,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Degree,<5 years,<5 years,Great importance,Great importance,Great importance,Great importance,14.5,(mid importance),Little importance,(mid-low importance),Little importance,4.81,5.75,(mid importance),Great importance,(mid importance)
1635,finished,user,Node.js/NPM,lead,<5 years,Very Important,Very Important,Very Important,Extremely important,Very Important,Important,Important,Very Important,Very Important,Very Important,Important,Confident,Low influence,Highest influence,Medium influence,Medium influence,High influence,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,TRUE,in repo,no rev dependencies,NA,Extremely important,Extremely important,Extremely important,Extremely important,Very Important,Extremely important,Very Important,Very Important,Extremely important,Extremely important,Extremely important,Never,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,NA,NA,NA,NA,NA,NA,Yes,No,Never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Version range,Version range,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Degree,<5 years,<5 years,Great importance,Great importance,Great importance,Great importance,14.5,Great importance,Great importance,Great importance,Great importance,13.85,7.75,Great importance,Great importance,Great importance
